序号,歌名,专辑,时长,链接
36,Call Me Maybe,Life is Good!,3:13,http://music.163.com/#/song?id=1977397113
37,Because Of You,Powervrouwen Top 101,3:40,http://music.163.com/#/song?id=26164892
38,In the End (Live),Road to Revolution (Live at Milton Keynes),3:50,http://music.163.com/#/song?id=16686470
39,Rather Be,Fun Radio: Fun Club 2014,3:48,http://music.163.com/#/song?id=28422343
40,Way Back,Way Back,3:28,http://music.163.com/#/song?id=2608374015
41,Telephone,Bravo Hits 69,3:40,http://music.163.com/#/song?id=26716095
42,Halo,Halo,4:21,http://music.163.com/#/song?id=2188235
43,We Are Wonders of Existence,We Are Wonders of Existence,3:36,http://music.163.com/#/song?id=34033766
44,Blank Space,Blank Space,3:51,http://music.163.com/#/song?id=29713617
45,Break Up In A Small Town,Country Music For Kids,3:51,http://music.163.com/#/song?id=1867840110
46,Counting Stars,NRJ Hit List 2014,4:16,http://music.163.com/#/song?id=28575553
47,Catch My Breath (David Tort Radio),Catch My Breath,2:51,http://music.163.com/#/song?id=27318155
48,Fractures,Awake,4:05,http://music.163.com/#/song?id=507585220
49,Sound of Walking Away,Awake,4:13,http://music.163.com/#/song?id=507585218
50,Solo Dance,Spin Songs,2:54,http://music.163.com/#/song?id=1919437035
51,Outside,Bravo Hits Vol. 88,3:47,http://music.163.com/#/song?id=33694021
52,Sugar,538 - Hitzone 73,3:55,http://music.163.com/#/song?id=31822229
53,All Summer Long,Atlantic Records: The Time Capsule,4:57,http://music.163.com/#/song?id=27118669
54,Whistle,NRJ Summer Hits Only 2012,3:44,http://music.163.com/#/song?id=5065541
55,Move Up (Lost Gravity),Ibiza 2016,3:04,http://music.163.com/#/song?id=545165146
56,Apologize,Sad Summer Songs 2022,3:28,http://music.163.com/#/song?id=1941957068
57,Ed Sheeran / J.Fla - Shape of You (Mashup),Shape of You,2:52,http://music.163.com/#/song?id=489410556
58,What Makes You Beautiful,More Music 2012,3:18,http://music.163.com/#/song?id=27218979
59,Payphone,Now That's What I Call Running 2014,3:51,http://music.163.com/#/song?id=28635797
60,Relax,Relax,2:29,http://music.163.com/#/song?id=1439181436
61,Outside,Spring Break 2015,3:47,http://music.163.com/#/song?id=33717785
62,Waka Waka (This Time for Africa),FC De Kampioenen - Forever,3:19,http://music.163.com/#/song?id=2028638116
63,Without You × A Sky Full Of Stars × Pizza (Mashup),Without You × A Sky Full Of Stars × Pizza (Mashup),4:17,http://music.163.com/#/song?id=557812549
64,Centuries,2010s Hits,3:48,http://music.163.com/#/song?id=1967977565
65,Summertime Sadness,Summertime Sadness,4:23,http://music.163.com/#/song?id=1981226694
66,III,Who You Are Is Not Enough,6:10,http://music.163.com/#/song?id=3947467
67,I Really Like You,"NOW, Vol. 1 2015",3:24,http://music.163.com/#/song?id=31961575
68,Young And Beautiful,Pop Internacional 2022,3:56,http://music.163.com/#/song?id=1925336076
69,Stranger Things,Kids in Love,3:41,http://music.163.com/#/song?id=573833355
70,4:55,CREAM THE BEST Ⅱ,3:22,http://music.163.com/#/song?id=1824713569
71,All Girls Are The Same,Rap 2020,2:45,http://music.163.com/#/song?id=1805290933
72,Touch,Ultraviolet,3:25,http://music.163.com/#/song?id=534228257
73,The Other,I met you when I was 18. (the playlist),3:09,http://music.163.com/#/song?id=563999349
74,Nothin' on Me,,3:37,http://music.163.com/#/song?id=1499793073
75,Go Again (feat. ELYSA),Go Again (feat. ELYSA),2:59,http://music.163.com/#/song?id=1952112969
76,What U Do(Radio edit),Yingzhu Era 2,2:22,http://music.163.com/#/song?id=2137758888
77,Born To Do,Hip Hop Music Paradox,3:48,http://music.163.com/#/song?id=514216257
78,Roar,Spring Cleaning,3:42,http://music.163.com/#/song?id=1942727044
79,Fight Song,Ultimate... Summer,3:24,http://music.163.com/#/song?id=416903659
80,Boom Clap,2014 Pop Hits,2:49,http://music.163.com/#/song?id=1440571286
81,Love Me Like You Do,Teenage Love,4:13,http://music.163.com/#/song?id=1819832480
82,I Really Want to Stay at Your House,"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",4:06,http://music.163.com/#/song?id=1496089152
83,"24/7, 365","24/7, 365",2:47,http://music.163.com/#/song?id=2064960966
84,Still Falling For You,Bridget Jones’s Baby (Original Motion Picture Soundtrack),4:03,http://music.163.com/#/song?id=431079072
85,All Falls Down (Wild Cards Remix),All Falls Down (Wild Cards Remix),3:03,http://music.163.com/#/song?id=528270321
86,Meant To Be (RetroVision Remix),Meant To Be (Remixes),3:35,http://music.163.com/#/song?id=484732439
87,Let Go,假期放松 Chill Mix,2:57,http://music.163.com/#/song?id=2658376893
88,One Last Time,My Everything (Tenth Anniversary Edition),3:17,http://music.163.com/#/song?id=2619651801
89,Sleeptalking,Sleeptalking,2:59,http://music.163.com/#/song?id=1481323654
90,We Are Never Ever Getting Back Together,Be My Anti-Valentine 2022,3:13,http://music.163.com/#/song?id=1917548454
91,A Sky Full Of Stars,Megahits Sommer 2014,4:29,http://music.163.com/#/song?id=28704796
92,Just Like Fire (from the original mpicture 'Alice Through The Looking Glass'),Now That's What I Call Music! 94,3:35,http://music.163.com/#/song?id=425280634
93,What Do You Mean?,Tropical House - Ministry of Sound,3:27,http://music.163.com/#/song?id=477742545
94,Welcome To New York,American Spirit,3:32,http://music.163.com/#/song?id=574922735
95,What Are Words,Canciones Para Conducir,3:09,http://music.163.com/#/song?id=2109088344
96,this is what heartbreak feels like,this is what ____ feels like (Vol. 1-4),2:37,http://music.163.com/#/song?id=1984537506
97,this is what winter feels like,this is what winter feels like,3:14,http://music.163.com/#/song?id=2116728806
98,Breathe,Breathe,3:28,http://music.163.com/#/song?id=512621132
