序号,歌名,专辑,时长,链接
38,Behind These Hazel Eyes,Breakaway (Limited Edition),3:18,https://y.qq.com/n/ryqq/songDetail/002m6Rak1mrenG
39,被爱的人不会晚睡,被爱的人不会晚睡,2:39,https://y.qq.com/n/ryqq/songDetail/003SSePW13ACZ8
40,本当だよ (是真的),本当だよ,3:33,https://y.qq.com/n/ryqq/songDetail/000nq3fu22yclG
41,奔跑,爱情诺曼底,3:13,https://y.qq.com/n/ryqq/songDetail/001B6Z2d1y7hmh
42,Best of my Love,Best of my Love(期間生産限定アニメ盤),5:45,https://y.qq.com/n/ryqq/songDetail/004FDKen0PVtjI
43,彼岸花开 (治愈版),彼岸花开（治愈纯音）,3:01,https://y.qq.com/n/ryqq/songDetail/004QzHvz26j5aL
44,别叫我达芬奇,Lil Ghost 2.0,4:05,https://y.qq.com/n/ryqq/songDetail/002d01GE06HVkZ
45,笔墨登场,失业情歌,4:25,https://y.qq.com/n/ryqq/songDetail/002XnL7D4SP3zQ
46,碧き雫 Aoki Shizuku (碧色之滴),英雄伝説 碧の軌跡 オリジナル・サウンドトラック,2:05,https://y.qq.com/n/ryqq/songDetail/001UbWiz3w4haq
47,Black Bird,Black Bird / Tiny Dancers /思い出は奇麗で,3:49,https://y.qq.com/n/ryqq/songDetail/000l7Dsw0mcTYe
48,bliss,Anytime Anywhere,4:19,https://y.qq.com/n/ryqq/songDetail/00139Hzx3LUkKN
49,Bloom of Youth (风华正茂),クドわふたー オリジナル サウンドトラック,2:28,https://y.qq.com/n/ryqq/songDetail/002wTCB845Pd70
50,Boom Clap,Boom Clap,2:49,https://y.qq.com/n/ryqq/songDetail/004eNpuy2fbaOI
51,Booty Music,Git Fresh,3:01,https://y.qq.com/n/ryqq/songDetail/001gip3A1SpQc2
52,Brave Shine (勇气之光),Brave Shine (期間生産限定アニメ盤) (勇敢之光),3:53,https://y.qq.com/n/ryqq/songDetail/0003nHmF1prMEQ
53,Brave Song,"My Soul, Your Beats!/Brave Song",5:25,https://y.qq.com/n/ryqq/songDetail/000L5FVi1L21lN
54,BRE@TH//LESS,アルドノア・ゼロ オリジナル・サウンドトラック (ALDNOAH.ZERO 动画原声带),4:03,https://y.qq.com/n/ryqq/songDetail/000JRSeG3VjZFk
55,Break Up In A Small Town,Montevallo,3:49,https://y.qq.com/n/ryqq/songDetail/001G9L0g4XBfPN
56,Breakaway,Let Go (20th Anniversary Edition),3:43,https://y.qq.com/n/ryqq/songDetail/004MPZJr17G84m
57,不唱骊歌,好好先生,3:56,https://y.qq.com/n/ryqq/songDetail/002kzjVI1eelV0
58,不分手的恋爱,好安静,3:25,https://y.qq.com/n/ryqq/songDetail/000wkTbk3kaHCk
59,不良,不良少年,3:38,https://y.qq.com/n/ryqq/songDetail/004W14so0h56jm
60,不怕,不怕,2:32,https://y.qq.com/n/ryqq/songDetail/001COK2T0cg6EP
61,不是对手,绝对痴心·手放开,4:38,https://y.qq.com/n/ryqq/songDetail/002IFgmw3TRDA9
62,不想让你走,不想让你走,3:13,https://y.qq.com/n/ryqq/songDetail/0011TNfJ4R82Hf
63,不许于这旅途嬉戏,不许于这旅途嬉戏,4:07,https://y.qq.com/n/ryqq/songDetail/003RvFhp3WydXK
64,Bye Bye,E=MC²,4:26,https://y.qq.com/n/ryqq/songDetail/003pjjxm0nTkIo
65,彩虹的微笑,微笑Pasta 电视剧原声带,2:50,https://y.qq.com/n/ryqq/songDetail/004dxdu83zPAzh
66,California Wild,Brittany Underwood EP,3:12,https://y.qq.com/n/ryqq/songDetail/004PnJwj18bWLv
67,Call of Silence,TVアニメ「進撃の巨人」Season 2 オリジナルサウンドトラック 音楽:澤野弘之 (进击的巨人 第二季 动画原声带),2:58,https://y.qq.com/n/ryqq/songDetail/001W4LsO0FHzS6
68,Call of Silence,"Attack on Titan: Epic Collection, Vol. 4 (Cover)",4:28,https://y.qq.com/n/ryqq/songDetail/002HR4ge4fT9O7
69,Call on me (feat. Ed Sheeran),Call on me (feat. Ed Sheeran),3:20,https://y.qq.com/n/ryqq/songDetail/0025k18Q1ZlOsb
70,Call your name <Gv>,「進撃の巨人」Season3 オリジナル・サウンドトラック (进击的巨人第三季 动画原声带),4:19,https://y.qq.com/n/ryqq/songDetail/002IsYoV4f9a3g
71,沧海飞尘,山色有无中,3:45,https://y.qq.com/n/ryqq/songDetail/003JzYFq2Jyitj
72,曹操,曹操,4:02,https://y.qq.com/n/ryqq/songDetail/0003y8uR1ZZwOI
73,Castaway,Sounds Good Feels Good (Deluxe),3:34,https://y.qq.com/n/ryqq/songDetail/000f92e41rivc1
74,侧脸,侧脸,3:37,https://y.qq.com/n/ryqq/songDetail/003WjRGk1b3FPN
75,茶树花开,茶树花开,3:51,https://y.qq.com/n/ryqq/songDetail/003pDIRW0388Fb
76,尘埃,尘埃,4:43,https://y.qq.com/n/ryqq/songDetail/0004aH0t2zpYJ5
77,成都,成都,5:28,https://y.qq.com/n/ryqq/songDetail/003TLWoN0gQnP5
78,城南花已开,城南花已开,4:31,https://y.qq.com/n/ryqq/songDetail/0016hfoy28wyTn
79,炽吻,炽吻,3:05,https://y.qq.com/n/ryqq/songDetail/00400OWx00GTgC
80,穿越人海,听！我们的歌,4:22,https://y.qq.com/n/ryqq/songDetail/002nJaEg3QZSNx
81,楚留香《不染》,楚留香《不染》,3:56,https://y.qq.com/n/ryqq/songDetail/002jEFgo23JGOQ
82,春泥,哈林天堂,4:16,https://y.qq.com/n/ryqq/songDetail/004IFKfx2ol4LU
83,春日影 (MyGO!!!!! ver.),迷迹波,4:16,https://y.qq.com/n/ryqq/songDetail/004Fy3wu3A1gHG
84,春三月,春三月,3:44,https://y.qq.com/n/ryqq/songDetail/004Zx0cr3ZQrkK
85,触れていたいだけ (feat. 月),触れていたいだけ (feat. 月),3:11,https://y.qq.com/n/ryqq/songDetail/002YVus91tpCBE
86,Circle of Karma,Circle of Karma,4:24,https://y.qq.com/n/ryqq/songDetail/002torGk03QCKD
87,此生不换,仙剑奇侠传三 电视剧原声带,4:25,https://y.qq.com/n/ryqq/songDetail/003hj8yv0e6SW8
88,Cocoon,トライアングル オリジナル・サウンドトラック,4:43,https://y.qq.com/n/ryqq/songDetail/002f6xVN32K5en
89,Color Blind,LOVE AND WAR,3:32,https://y.qq.com/n/ryqq/songDetail/001mDkkA2cAFP4
90,Contact,Contact,2:21,https://y.qq.com/n/ryqq/songDetail/000tXOwv3ro8Kh
91,Crazy Kids,Warrior (Deluxe Version),3:50,https://y.qq.com/n/ryqq/songDetail/0002BEbT22bd6P
92,Crow Song,Crow Song,4:06,https://y.qq.com/n/ryqq/songDetail/0001YijR2TdJF9
93,璀璨冒险人,璀璨冒险人,4:33,https://y.qq.com/n/ryqq/songDetail/000zmMlz1J0bsy
94,错误的相遇 (普通话版),我的野蛮千金 电视剧原声带,4:12,https://y.qq.com/n/ryqq/songDetail/000y0s2U1UQpza
95,盗将行,粥请客 (二),3:18,https://y.qq.com/n/ryqq/songDetail/000PghTZ1AgWfU
96,盗墓笔记·十年人间,盗墓笔记·十年人间,4:37,https://y.qq.com/n/ryqq/songDetail/003KdkFG3Zuqsy
97,稻香,魔杰座,3:43,https://y.qq.com/n/ryqq/songDetail/003aAYrm3GE0Ac
98,打上花火,打上花火 (初回限定盤),4:49,https://y.qq.com/n/ryqq/songDetail/001UiydT2NNPir
99,大约在冬季,燃烧爱情 (狼之旅),3:54,https://y.qq.com/n/ryqq/songDetail/002rM0CG1GLZeM
100,Dear my future,夏めきペイン,4:04,https://y.qq.com/n/ryqq/songDetail/0036l7SS24bqSe
101,得不到的温柔,登陆计划,3:47,https://y.qq.com/n/ryqq/songDetail/000sSmQZ3HMeQF
102,得到你的人却得不到你的心,得到你的人却得不到你的心,4:20,https://y.qq.com/n/ryqq/songDetail/002PPVe038LnTv
103,等,擦肩而过,3:51,https://y.qq.com/n/ryqq/songDetail/003EBmu94Z5Nii
104,等风吹,等风吹,2:50,https://y.qq.com/n/ryqq/songDetail/000kCb684b4CBm
105,等一分钟,茉莉花开,3:56,https://y.qq.com/n/ryqq/songDetail/002CQ7e82p2SCl
106,第57次取消发送,第57次取消发送,3:00,https://y.qq.com/n/ryqq/songDetail/001P6YOB0eXLlj
107,电台情歌,滚石香港黄金十年 莫文蔚精选,4:08,https://y.qq.com/n/ryqq/songDetail/000lzyD33Om1kr
108,点一把火炬,JJ陆,4:13,https://y.qq.com/n/ryqq/songDetail/0017mjTW03a3IN
109,帝都,帝都,3:03,https://y.qq.com/n/ryqq/songDetail/000bALrT4czR7k
110,跌落尘埃,跌落尘埃（Falling Ashes）,3:39,https://y.qq.com/n/ryqq/songDetail/0030OAVL3xylcC
111,丁达尔效应,丁达尔效应,2:57,https://y.qq.com/n/ryqq/songDetail/000CcVbe1BAxid
112,disintegrate,Hits You Haven’t Heard Vol. 1,3:10,https://y.qq.com/n/ryqq/songDetail/000apS0E3jg0ei
113,Distortion!! (失真),Distortion!!,3:23,https://y.qq.com/n/ryqq/songDetail/004PPqpN4SIVOe
114,"Don't say ""lazy""",Don't say lazy,4:23,https://y.qq.com/n/ryqq/songDetail/001qrnDh07g133
115,東方萃夢想,ピアノのための東方夜想曲集「Dream」,5:38,https://y.qq.com/n/ryqq/songDetail/000Je21U3FS3aX
116,冻结,最近还好么,3:38,https://y.qq.com/n/ryqq/songDetail/000uT7z22VU0oS
117,东京不太热,封茗囧菌翻唱合辑,3:44,https://y.qq.com/n/ryqq/songDetail/003vEiDN3Pxu7W
118,Don’t Say Lazy,Unity,4:20,https://y.qq.com/n/ryqq/songDetail/004L9rc61XZwaI
119,兜兜转转还是成为陌生人,兜兜转转还是成为陌生人,3:13,https://y.qq.com/n/ryqq/songDetail/000OF7EY1udIe2
120,Down For Life,What's That Sound,3:36,https://y.qq.com/n/ryqq/songDetail/003N5w1q1AwvUm
121,Dragonflame,Dragonflame,3:18,https://y.qq.com/n/ryqq/songDetail/004WZe3310ezJD
122,Dream of you,EDEN,2:26,https://y.qq.com/n/ryqq/songDetail/004Yi5Hu0gON5x
123,Dreamland,Dreamland 理想世界,3:35,https://y.qq.com/n/ryqq/songDetail/0026bSYh11Gyp5
124,Droemmepige,Droemmepige,4:02,https://y.qq.com/n/ryqq/songDetail/000m2Vqh1pikip
125,段奥娟《凡人》,时光印记,4:25,https://y.qq.com/n/ryqq/songDetail/003AfQ0u10946Y
126,独角,独角,3:01,https://y.qq.com/n/ryqq/songDetail/003PPY0o30AdQU
127,e of s,e of s,3:50,https://y.qq.com/n/ryqq/songDetail/000I2frn3uHUbo
128,Endlessly,Symphony Soldier,3:57,https://y.qq.com/n/ryqq/songDetail/003BwpYq0Dg94Y
129,Everybody Hurts,Goodbye Lullaby (Deluxe Edition),3:41,https://y.qq.com/n/ryqq/songDetail/003S9TT02brRIT
130,Everybody Needs a Song,Everybody Needs a Song,3:03,https://y.qq.com/n/ryqq/songDetail/002Nn7ul4OzZzu
131,Exist,1,3:51,https://y.qq.com/n/ryqq/songDetail/001lGv6p11UxtP
132,Fake Love (Orchestral Version),DD Ceremony,4:02,https://y.qq.com/n/ryqq/songDetail/002rjT8a0wRluQ
133,FallinFlower (治愈版),伴你入眠（9）,2:03,https://y.qq.com/n/ryqq/songDetail/003SMGZZ3gEdzA
134,芳华慢,芳华慢,3:29,https://y.qq.com/n/ryqq/songDetail/004Pf1Nt4BLyfN
135,放开手,放开手,3:17,https://y.qq.com/n/ryqq/songDetail/001ko1Vs2AQgkq
136,Fantasy,Fantasy,3:35,https://y.qq.com/n/ryqq/songDetail/001Kmsgs1G55wq
137,Far Away from Home,Covergirl,4:21,https://y.qq.com/n/ryqq/songDetail/003wOev04RJELP
138,飞云之下,飞云之下,4:26,https://y.qq.com/n/ryqq/songDetail/000fVqPH1RjwS3
139,风经过，唱离合,风经过，唱离合,2:56,https://y.qq.com/n/ryqq/songDetail/000zR5Rx3E3TbK
140,蜂鸟,我在北京等你 电视剧原声带,3:45,https://y.qq.com/n/ryqq/songDetail/004WVheh08as6e
141,枫叶城,枫叶城,4:10,https://y.qq.com/n/ryqq/songDetail/002aE7l90vlHPX
142,風の住む街 (风居住的街道),風の住む街 (风居住的街道),4:45,https://y.qq.com/n/ryqq/songDetail/0042Tdcw39bA3f
143,Flow,Flow,3:13,https://y.qq.com/n/ryqq/songDetail/002WP8s233sYL5
144,Fortnight,THE TORTURED POETS DEPARTMENT (Explicit),3:48,https://y.qq.com/n/ryqq/songDetail/0031h9zO4WH5Fn
145,Free Fall,Free Fall,3:10,https://y.qq.com/n/ryqq/songDetail/002bhPDm24zfcv
146,Free Loop,Daniel Powter,3:52,https://y.qq.com/n/ryqq/songDetail/003hxfWx21PwlJ
147,改变自己,改变自己,3:14,https://y.qq.com/n/ryqq/songDetail/002h62C40NbkWI
148,该死的温柔,宇光十色,3:44,https://y.qq.com/n/ryqq/songDetail/000TIBdC0xuRPc
149,感谢你曾来过,卧龙与酒,4:10,https://y.qq.com/n/ryqq/songDetail/0042xeq137FRKW
150,赶着回家的人,赶着回家的人,3:22,https://y.qq.com/n/ryqq/songDetail/001gXR0j4CGTSa
151,GF,梦想家 The Dreamer,4:44,https://y.qq.com/n/ryqq/songDetail/000wC0CQ4W5xFE
152,Ghost,Justice (中国豪华特别版),2:33,https://y.qq.com/n/ryqq/songDetail/004gAlS71UGR3r
153,The Right Path,Age Of Innocence,2:28,https://y.qq.com/n/ryqq/songDetail/0008dOVc2ImmJP
154,The Saltwater Room,Maybe I'm Dreaming,4:55,https://y.qq.com/n/ryqq/songDetail/004JRUOv4QzdC9
155,The Sun Will Rise,Stronger (Deluxe Version),3:33,https://y.qq.com/n/ryqq/songDetail/001fkbCP3YLsS8
156,The Truth That You Leave,Pianoboy,3:43,https://y.qq.com/n/ryqq/songDetail/003nAZrO2vxO6p
157,The Way I Still Love You,REYNARD SILVA,3:46,https://y.qq.com/n/ryqq/songDetail/003Pv8iX2gc8mY
158,THESE ARE THE DAYS,THESE ARE THE DAYS,2:37,https://y.qq.com/n/ryqq/songDetail/004FEbKm2Ep0oD
159,This is Us,This is Us,3:25,https://y.qq.com/n/ryqq/songDetail/001TfS8n3SIOk2
160,Thousand Enemies,Thousand Enemies,4:48,https://y.qq.com/n/ryqq/songDetail/004KPSbd3nu2ns
161,天地龙鳞,天地龙鳞,3:16,https://y.qq.com/n/ryqq/songDetail/001lePVO36SNSo
162,甜而不腻,糖,4:19,https://y.qq.com/n/ryqq/songDetail/000bxBAE3o3802
163,天府,天府,4:07,https://y.qq.com/n/ryqq/songDetail/0031PTO62Kdxxj
164,天后,再爱一遍‧天后,4:49,https://y.qq.com/n/ryqq/songDetail/002bwOah1iUiLU
165,天空,天空,2:58,https://y.qq.com/n/ryqq/songDetail/000c4qO04LiVoI
166,天空の境界線,FAIRY BREATH,5:13,https://y.qq.com/n/ryqq/songDetail/002pcXWJ1IYv8B
167,天使たちの歌 (天使们的歌谣),TVアニメ「義妹生活」オープニング主題歌「天使たちの歌」 (义妹生活 TV动画 片头曲),4:16,https://y.qq.com/n/ryqq/songDetail/004Jp6i8040FsH
168,天下,听！我们的歌,3:41,https://y.qq.com/n/ryqq/songDetail/00041h1u3kgquE
169,天涯,为爱走天涯,5:26,https://y.qq.com/n/ryqq/songDetail/004aLnmP29HHlg
170,Time after time,囿于昼夜,3:16,https://y.qq.com/n/ryqq/songDetail/000uLQ8H1EeyQn
171,Time after time ～花舞う街で～ (Time after time～在落花纷飞的街道上～),Time after time ～花舞う街で～ (Time after time～在落花纷飞的街道上～),4:04,https://y.qq.com/n/ryqq/songDetail/000Ia3aP0cjrN8
172,Time To Love,Vain,3:59,https://y.qq.com/n/ryqq/songDetail/000H8dpV4Pjga3
173,停止跳动,汪苏泷原创合集,4:03,https://y.qq.com/n/ryqq/songDetail/003vDPYg3SqG1z
174,替身,替身,3:17,https://y.qq.com/n/ryqq/songDetail/000Eawcc3UdFjz
175,童话镇,童话镇,3:23,https://y.qq.com/n/ryqq/songDetail/002hwCGJ0MGJSv
176,同じ空みつめてるあなたに,同じ空みつめてるあなたに,4:35,https://y.qq.com/n/ryqq/songDetail/001JJ4yb0hBR4X
177,Tonight (R.I.O. Video Edit),Tonight (Remixes),3:28,https://y.qq.com/n/ryqq/songDetail/003gXnK43bs9Cc
178,Torches,Torches,4:54,https://y.qq.com/n/ryqq/songDetail/003jtqQ109Mqno
179,Tranquility,Tranquility / Trollz,4:44,https://y.qq.com/n/ryqq/songDetail/001KtZXX4955Ci
180,Trip,Massive EDM Bangers,3:08,https://y.qq.com/n/ryqq/songDetail/0023S6UN4Birwj
181,U Make Me Wanna,One Love,3:49,https://y.qq.com/n/ryqq/songDetail/0009aEPn196KtD
182,Untitled world (无题世界),Untitled world,4:07,https://y.qq.com/n/ryqq/songDetail/000PFqzi38hAOf
183,Volaré,Invencible,3:25,https://y.qq.com/n/ryqq/songDetail/003BtUMO27q8zW
184,Wake (Studio),We Are Young & Free (Live),4:14,https://y.qq.com/n/ryqq/songDetail/0005UUIy4G0CTo
185,晚风奔向你,晚风奔向你,3:25,https://y.qq.com/n/ryqq/songDetail/0045IN5Q31DMzl
186,王妃,王妃,3:41,https://y.qq.com/n/ryqq/songDetail/004fXIwt4T8gsE
187,王招君 (你看你拉住我的模样),TA·说,4:15,https://y.qq.com/n/ryqq/songDetail/001D51640M6ZeR
188,忘れてやらない (绝不会忘记),結束バンド,3:43,https://y.qq.com/n/ryqq/songDetail/0047wEGm1RDgKp
189,晚夜微雨问海棠,晚夜微雨问海棠,4:32,https://y.qq.com/n/ryqq/songDetail/0003Outk11AVKw
190,Warrior,Head Above Water,3:45,https://y.qq.com/n/ryqq/songDetail/000Xspmu0EoIpJ
191,为龙,河图精选,4:07,https://y.qq.com/n/ryqq/songDetail/000a4JXK2q2GtI
192,为时已晚（越大越觉孤单）,为时已晚,3:33,https://y.qq.com/n/ryqq/songDetail/00046AXu22Nefc
193,唯一,T.I.M.E.,4:13,https://y.qq.com/n/ryqq/songDetail/001NgljR0RUhy1
194,What Doesn't Kill You,2Day Acoustic Sessions,3:38,https://y.qq.com/n/ryqq/songDetail/000tEfAV2iD7sX
195,When You're Gone,The Best Damn Thing (Deluxe Edition),4:00,https://y.qq.com/n/ryqq/songDetail/000yWJw73DGoep
196,Whistle (Rumba),Let's Dance Das Tanzalbum 2014,3:46,https://y.qq.com/n/ryqq/songDetail/002fGOkN0LwqoZ
197,Who Says,2000 Hits Mixtape (Explicit),3:15,https://y.qq.com/n/ryqq/songDetail/002xvRgh1WM8k3
198,Why Would I Ever,Why Would I Ever,3:22,https://y.qq.com/n/ryqq/songDetail/0006aN4s3LvHlV
199,With a Love Like You(feat. Jamie Pineda),The Next Generation,4:29,https://y.qq.com/n/ryqq/songDetail/003PcWf24LHHAn
200,我把回忆酿成酒,我把回忆酿成酒,3:39,https://y.qq.com/n/ryqq/songDetail/003wQAMf3qzo2t
201,我不曾忘记,我不曾忘记,3:50,https://y.qq.com/n/ryqq/songDetail/0048PqsG4P0ewv
202,我不配你要的,我不配你要的,3:25,https://y.qq.com/n/ryqq/songDetail/001oHShV1Go4Rm
203,我的好兄弟,拿得起放不下,4:37,https://y.qq.com/n/ryqq/songDetail/001uyeOf245nlU
204,我还想她,JJ陆,4:07,https://y.qq.com/n/ryqq/songDetail/003gUMnj3mMwLZ
205,我很快乐,爱情花园,3:33,https://y.qq.com/n/ryqq/songDetail/0027opWa4PxDhg
206,我乐意,我乐意,4:02,https://y.qq.com/n/ryqq/songDetail/000FRrLF2abwM2
207,我们的歌,改变自己,4:07,https://y.qq.com/n/ryqq/songDetail/000NqZLy2lfXjT
208,我们都一样,明天过后,5:03,https://y.qq.com/n/ryqq/songDetail/001UMfxJ1WsCPY
209,我是说假如,还是分开（CD版）,2:51,https://y.qq.com/n/ryqq/songDetail/0044Twgu3HARxj
210,我想牵着你的手,许嵩早期单曲集,2:47,https://y.qq.com/n/ryqq/songDetail/000iFsZ51YZhXO
211,我也不知道,好安静,3:48,https://y.qq.com/n/ryqq/songDetail/002WOp9V0sSP6F
212,我知道你,Dream Start,4:03,https://y.qq.com/n/ryqq/songDetail/001q93Md2OfVwD
213,我终于明白,我终于明白,3:33,https://y.qq.com/n/ryqq/songDetail/002kG7421w9ldh
214,无归,完美世界,4:42,https://y.qq.com/n/ryqq/songDetail/002S6Jlz2uumt1
215,无名的人,无名的人,5:19,https://y.qq.com/n/ryqq/songDetail/000Uw2s630TItL
216,无名的人,无名的人,4:42,https://y.qq.com/n/ryqq/songDetail/002QhULf16tWw1
217,梧桐影,梧桐影,5:24,https://y.qq.com/n/ryqq/songDetail/000gjTwo0NB5Us
218,无心,未知专辑,4:28,https://y.qq.com/n/ryqq/songDetail/004Bntg04KPaPJ
219,夏灯篭,夏灯篭,4:13,https://y.qq.com/n/ryqq/songDetail/002PrAUl1bz2zf
220,夏恋慕(feat. 春茶),夏恋慕 (feat. 春茶),4:27,https://y.qq.com/n/ryqq/songDetail/003FNIRA0WO7JV
221,想いの寄り方は不均一 (思念隔山海),未来日記 第2巻 Blu-ray限定版特典「サウンドトラックCD」 (未来日记),2:14,https://y.qq.com/n/ryqq/songDetail/001nRjfa0IpYf2
222,逍遥,新笑傲江湖 电视剧原声带,4:25,https://y.qq.com/n/ryqq/songDetail/000oW9UA3FlRit
223,小宇,小宇,4:29,https://y.qq.com/n/ryqq/songDetail/003xnepc40S6oM
224,消えない温度,Autumn Vox,2:53,https://y.qq.com/n/ryqq/songDetail/002EVxL03UycjH
225,夏天的风 (钢琴版),【昼夜】流行钢琴翻奏,2:56,https://y.qq.com/n/ryqq/songDetail/000gT2Ci3CMD3b
226,夏天的思念,夏天的思念,3:31,https://y.qq.com/n/ryqq/songDetail/002amO9z0Rdlvv
227,下一秒的我们,下一秒的我们,2:04,https://y.qq.com/n/ryqq/songDetail/0034Kcpk42cz4w
228,夏を書き留める,日陰,5:09,https://y.qq.com/n/ryqq/songDetail/002vVr3e1d1ERe
229,星河入海,星河入海,3:26,https://y.qq.com/n/ryqq/songDetail/003QZi1y2rHt6v
230,形容,大新闻 (I Am),4:29,https://y.qq.com/n/ryqq/songDetail/000RKnpi1KyTVD
231,星屑ビーナス (星尘中的维纳斯),あなたに出会わなければ~夏雪冬花~/星屑ビーナス(期間生産限定アニメ盤) (如果不曾遇见你~夏雪冬花~/星尘中的维纳斯),4:12,https://y.qq.com/n/ryqq/songDetail/0007sEcf0nYt3Q
232,星星海,半熟·秘密,3:57,https://y.qq.com/n/ryqq/songDetail/00162L3a02r1tG
233,星月神话,星月神话,4:08,https://y.qq.com/n/ryqq/songDetail/000vArrl4AAiKB
234,心流感,Break It Down,3:14,https://y.qq.com/n/ryqq/songDetail/001QITTJ3VO7Vu
235,心似烟火,心似烟火,3:36,https://y.qq.com/n/ryqq/songDetail/001vf3Fo1kRyQn
236,信仰,信仰,4:16,https://y.qq.com/n/ryqq/songDetail/001SE3Nh3ZMQCD
237,心之火,花千骨 电视剧原声带,4:56,https://y.qq.com/n/ryqq/songDetail/001aMAmi0JDHhi
238,心中的日月,心中的日月,3:57,https://y.qq.com/n/ryqq/songDetail/0010pO163d2ozK
239,心做し (无心),メリー (Merry),4:29,https://y.qq.com/n/ryqq/songDetail/002rhbs50SVdjL
240,心の在り処 (心之所在),Song Collection from The Rose of Versailles,4:01,https://y.qq.com/n/ryqq/songDetail/0023ARRe2pQN2N
